Time, Currents, Velocities, Positions
4.304690361022949219e-01,6.999999879999999619e-01,1.413716694115406958e-01,3.002577178668444646e-02
4.410939216613769531e-01,8.109999900000000039e-01,1.727875959474386158e-01,3.142566541029220145e-02
4.517576694488525391e-01,8.299000260000000129e-01,2.042035224833365359e-01,3.186768771656377230e-02
4.622743129730224609e-01,8.045999999999999819e-01,2.199114857512855237e-01,3.350697245966696020e-02
4.725582599639892578e-01,9.250000120000000381e-01,2.513274122871834160e-01,3.423739275162658580e-02
4.830114841461181641e-01,8.216000199999999865e-01,2.670353755551324038e-01,3.595552792033518408e-02
4.934477806091308594e-01,9.151999950000000439e-01,2.670353755551324038e-01,3.651316061634737181e-02
5.036764144897460938e-01,8.992999790000000271e-01,3.141592653589793116e-01,3.921304348930277489e-02
5.141022205352783203e-01,8.755000229999999606e-01,3.141592653589793116e-01,3.989225952808821141e-02
5.242624282836914062e-01,9.567999839999999923e-01,3.455751918948772317e-01,4.258428841940964382e-02
5.348966121673583984e-01,9.366999860000000400e-01,3.769911184307751517e-01,4.338162479197036486e-02
5.452535152435302734e-01,1.042500019000000000e+00,4.241150082346220596e-01,4.687633214566438999e-02
5.555582046508789062e-01,8.205000159999999987e-01,4.241150082346220596e-01,4.776980310696461729e-02
5.658323764801025391e-01,1.160599946999999910e+00,4.712388980384689674e-01,5.130817520562347411e-02
5.760045051574707031e-01,8.938999770000000122e-01,4.712388980384689674e-01,5.230751768227005077e-02
5.862901210784912109e-01,9.689999820000000375e-01,5.026548245743668319e-01,5.617356345531731437e-02
5.967006683349609375e-01,1.108000040000000075e+00,5.183627878423158197e-01,5.728505522907805653e-02
6.069853305816650391e-01,1.120200037999999898e+00,5.497787143782137953e-01,6.202886013599864801e-02
6.174538135528564453e-01,1.015799998999999953e+00,5.811946409141116598e-01,6.324622728926469761e-02
6.279239654541015625e-01,1.071300029999999959e+00,5.811946409141116598e-01,6.773651119824364297e-02
6.386599540710449219e-01,9.523000120000000290e-01,5.969026041820606476e-01,6.902079059936774841e-02
6.490409374237060547e-01,1.052399993000000089e+00,6.283185307179586232e-01,7.386858407666183068e-02
6.597158908843994141e-01,1.107900023000000012e+00,6.440264939859076110e-01,7.522920967705530593e-02
6.703596115112304688e-01,1.217200040999999899e+00,6.911503837897544633e-01,8.104931687576895361e-02
6.814002990722656250e-01,1.222699999999999898e+00,6.754424205218054755e-01,8.247874153315230827e-02
6.926059722900390625e-01,1.078400016000000017e+00,6.911503837897544633e-01,8.786845971177469072e-02
7.036349773406982422e-01,1.284600018999999982e+00,7.068583470577034511e-01,8.938616497626358792e-02
7.148048877716064453e-01,1.285199999999999898e+00,7.539822368615503034e-01,9.594801322747999184e-02
7.255568504333496094e-01,1.149500012000000071e+00,7.696902001294992912e-01,9.760551016018716164e-02
7.366309165954589844e-01,1.140599965999999910e+00,8.168140899333461435e-01,1.040121655878558926e-01
7.472522258758544922e-01,1.175899982000000010e+00,8.482300164692441191e-01,1.058364829125924139e-01
7.581965923309326172e-01,1.094599961999999982e+00,9.110618695410399592e-01,1.137432488323502772e-01
7.694046497344970703e-01,1.136100053999999915e+00,9.110618695410399592e-01,1.156812954868101512e-01
7.800307273864746094e-01,1.186499952999999996e+00,9.581857593448868116e-01,1.231758807747536238e-01
7.910132408142089844e-01,1.245800017999999953e+00,9.738937226128357993e-01,1.252612662711272140e-01
8.021969795227050781e-01,1.279999971000000070e+00,1.021017612416682763e+00,1.341224443633822483e-01
8.131923675537109375e-01,1.255399941999999935e+00,1.005309649148733664e+00,1.362508733861893251e-01
8.236436843872070312e-01,1.313199996999999897e+00,1.036725575684631639e+00,1.443367008823353281e-01
8.347790241241455078e-01,1.354200005999999901e+00,1.036725575684631639e+00,1.465336221541937434e-01
8.455007076263427734e-01,1.199300051000000034e+00,1.052433538952580738e+00,1.558544115445896217e-01
8.562655448913574219e-01,1.255599976000000062e+00,1.083849465488478492e+00,1.581754165213983543e-01
8.672029972076416016e-01,1.411700009999999894e+00,1.130973355292325566e+00,1.669225584759914949e-01
8.779492378234863281e-01,1.370800017999999953e+00,1.146681318560274443e+00,1.693670335418734629e-01
8.888998031616210938e-01,1.352100014999999988e+00,1.209513171632070394e+00,1.799111572894534772e-01
8.995540142059326172e-01,1.147600055000000063e+00,1.240929098167968148e+00,1.825519819276007205e-01
9.102919101715087891e-01,1.321099996999999915e+00,1.240929098167968148e+00,1.923675721609370004e-01
9.213829040527343750e-01,1.231299995999999952e+00,1.272345024703866123e+00,1.950929037879261529e-01
9.331579208374023438e-01,1.521999955000000071e+00,1.288052987971815222e+00,2.065088194968773272e-01
9.437255859375000000e-01,1.462399959999999943e+00,1.319468914507712975e+00,2.093067237362881416e-01
9.548013210296630859e-01,1.360399960999999935e+00,1.319468914507712975e+00,2.196582715298665001e-01
9.662086963653564453e-01,1.337299943000000102e+00,1.350884841043610951e+00,2.225309420301852525e-01
9.772894382476806641e-01,1.313099980000000055e+00,1.429424657383355779e+00,2.349245250485969827e-01
9.878189563751220703e-01,1.281800032000000034e+00,1.429424657383355779e+00,2.379718699225790990e-01
9.994478225708007812e-01,1.401100038999999908e+00,1.476548547187202631e+00,2.495288504930032736e-01
1.009976387023925781e+00,1.293400048999999941e+00,1.492256510455151730e+00,2.527037458822607996e-01
1.020677804946899414e+00,1.398699998999999972e+00,1.492256510455151730e+00,2.644473352027685298e-01
1.031686782836914062e+00,1.316499949000000003e+00,1.492256510455151730e+00,2.676244241776805088e-01
1.043269634246826172e+00,1.338700055999999972e+00,1.476548547187202631e+00,2.807876973962217249e-01
1.053712368011474609e+00,1.461300014999999952e+00,1.507964473723100607e+00,2.839880415080970888e-01
1.065201044082641602e+00,1.263900041999999946e+00,1.539380400258998582e+00,2.960165677844982524e-01
1.075498342514038086e+00,1.568300009000000106e+00,1.555088363526947459e+00,2.991581604380880166e-01
1.086481332778930664e+00,1.538200020999999973e+00,1.633628179866692287e+00,3.136704470509291687e-01
1.097360372543334961e+00,1.342499971000000070e+00,1.617920216598743410e+00,3.171359243982556086e-01
1.108313798904418945e+00,1.373100041999999910e+00,1.665044106402590263e+00,3.301028480759474748e-01
1.119539260864257812e+00,1.428099989999999986e+00,1.665044106402590263e+00,3.336233032947117927e-01
1.130615472793579102e+00,1.488800048999999959e+00,1.680752069670539361e+00,3.467099389312650604e-01
1.141438961029052734e+00,1.229400038999999945e+00,1.727875959474386214e+00,3.503249793366880471e-01
1.152732610702514648e+00,1.459499955000000071e+00,1.759291886010284189e+00,3.639710883283892029e-01
1.163825035095214844e+00,1.231099962999999908e+00,1.759291886010284189e+00,3.677271937837807703e-01
1.174215316772460938e+00,1.530900002000000093e+00,1.774999849278233066e+00,3.835765287211412300e-01
1.185262441635131836e+00,1.384799957000000026e+00,1.759291886010284189e+00,3.873602456343652189e-01
1.196829080581665039e+00,1.426200031999999895e+00,1.743583922742335091e+00,4.012165714710479447e-01
1.207628726959228516e+00,1.283400059000000093e+00,1.743583922742335091e+00,4.049434390660903715e-01
1.218008756637573242e+00,1.492900013999999942e+00,1.790707812546181943e+00,4.188449865582251630e-01
1.229065418243408203e+00,1.581300020000000028e+00,1.806415775814131042e+00,4.226680041672270516e-01
1.239714145660400391e+00,1.642899990000000088e+00,1.869247628885926771e+00,4.389844669144794542e-01
1.250732898712158203e+00,1.281800032000000034e+00,1.869247628885926771e+00,4.429369219107203715e-01
1.262335777282714844e+00,1.397699951999999968e+00,1.884955592153875870e+00,4.576298193135349135e-01
1.273332118988037109e+00,1.316100000999999908e+00,1.853539665617977894e+00,4.615687752003026501e-01
1.284370660781860352e+00,1.229599952999999912e+00,1.884955592153875870e+00,4.782012994472658041e-01
1.295464754104614258e+00,1.272799969000000031e+00,1.916371518689773623e+00,4.822756136809468464e-01
1.305919408798217773e+00,1.095800042000000030e+00,1.979203371761569574e+00,4.976694176835367855e-01
1.317353487014770508e+00,1.314200043999999901e+00,1.963495408493620697e+00,5.018301565027996070e-01
1.327661514282226562e+00,1.166399956000000016e+00,1.916371518689773623e+00,5.191287351489578539e-01
1.338769674301147461e+00,1.378999949000000003e+00,1.900663555421824746e+00,5.231772785839422513e-01
1.349489212036132812e+00,1.705000043000000076e+00,1.900663555421824746e+00,5.400121041190369953e-01
1.360297679901123047e+00,1.658100008999999986e+00,1.900663555421824746e+00,5.440707719646660223e-01
1.371177911758422852e+00,1.319399953000000014e+00,1.963495408493620697e+00,5.594234038247344332e-01
1.382768630981445312e+00,1.325600027999999986e+00,1.963495408493620697e+00,5.636036242883605274e-01
1.393146991729736328e+00,1.212599992999999987e+00,1.979203371761569574e+00,5.811691767348581283e-01
1.404931068420410156e+00,1.445600033000000062e+00,1.963495408493620697e+00,5.853493971984842226e-01
1.415322780609130859e+00,1.432399988000000013e+00,1.979203371761569574e+00,6.028028466235272331e-01
1.426350831985473633e+00,1.341699957999999970e+00,1.994911335029518451e+00,6.070304975964002647e-01
1.437348604202270508e+00,1.266899943000000084e+00,2.010619298297467328e+00,6.270342206234742477e-01
1.448542118072509766e+00,1.136999965000000001e+00,2.026327261565416649e+00,6.313778406617212013e-01
1.459187507629394531e+00,1.286200046999999902e+00,1.963495408493620697e+00,6.490470904843689270e-01
1.470720052719116211e+00,1.433200001999999973e+00,1.947787445225671599e+00,6.531744803551361445e-01
1.481199502944946289e+00,1.389700055000000045e+00,1.947787445225671599e+00,6.684269126883145562e-01
1.492653131484985352e+00,1.251700043999999901e+00,1.963495408493620697e+00,6.725659610094191221e-01
1.503156423568725586e+00,1.241099954000000061e+00,1.994911335029518451e+00,6.921123124425867523e-01
1.514217853546142578e+00,1.222200036000000045e+00,1.994911335029518451e+00,6.963302687746901753e-01
1.525267124176025391e+00,1.358899950999999939e+00,1.963495408493620697e+00,7.118613333585451786e-01
1.536477565765380859e+00,1.374600052999999988e+00,1.947787445225671599e+00,7.160123467494302618e-01
1.547652006149291992e+00,1.127500057000000000e+00,1.963495408493620697e+00,7.333871947829175841e-01
1.559297561645507812e+00,1.199699998000000045e+00,1.994911335029518451e+00,7.376361988468976838e-01
1.569859504699707031e+00,9.708999990000000135e-01,1.994911335029518451e+00,7.553585858818475662e-01
1.580801010131835938e+00,1.238600015999999915e+00,1.994911335029518451e+00,7.595978337298421312e-01
