times(s), positions(rads), velocities(rads^-1)
9.062400000000000091e+02,-6.287941011180455675e-01,-1.255098091412149374e-11
9.064299999999999500e+02,-6.287941011206603648e-01,-1.255991558103843173e-11
9.066200000000000045e+02,-6.287941011232769384e-01,-1.256917198484158589e-11
9.068300000000000409e+02,-6.287941011261670710e-01,-1.257908970187983065e-11
9.069800000000000182e+02,-6.287941011282329740e-01,-1.258637737744266155e-11
9.071599999999999682e+02,-6.287941011307109918e-01,-1.259503249150302842e-11
9.073899999999999864e+02,-6.287941011338764596e-01,-1.260620540750255646e-11
9.077100000000000364e+02,-6.287941011382818246e-01,-1.262149033523143169e-11
9.079800000000000182e+02,-6.287941011419979631e-01,-1.263455913431252710e-11
9.082400000000000091e+02,-6.287941011455773221e-01,-1.264699480431931417e-11
9.085399999999999636e+02,-6.287941011497144572e-01,-1.266118360332655655e-11
9.088200000000000500e+02,-6.287941011535993496e-01,-1.267457692601879706e-11
9.090399999999999636e+02,-6.287941011566511307e-01,-1.268546786456040113e-11
9.093300000000000409e+02,-6.287941011606745789e-01,-1.269908972308440400e-11
9.095800000000000409e+02,-6.287941011641438038e-01,-1.271101962860705059e-11
9.098099999999999454e+02,-6.287941011673341407e-01,-1.272217502541731603e-11
9.099900000000000091e+02,-6.287941011698316984e-01,-1.273067446268242288e-11
9.101599999999999682e+02,-6.287941011721907003e-01,-1.273878314958146092e-11
9.103099999999999454e+02,-6.287941011742725905e-01,-1.274614284056308664e-11
9.105299999999999727e+02,-6.287941011773243716e-01,-1.275649031235741725e-11
9.107200000000000273e+02,-6.287941011799604851e-01,-1.276559071779100459e-11
9.110800000000000409e+02,-6.287941011849733641e-01,-1.278274989822607662e-11
9.113500000000000227e+02,-6.287941011887481224e-01,-1.279556924168608213e-11
9.116699999999999591e+02,-6.287941011932227653e-01,-1.281090908436344649e-11
9.120499999999999545e+02,-6.287941011985394013e-01,-1.282915599745852144e-11
9.123600000000000136e+02,-6.287941012028914756e-01,-1.284388414216059847e-11
9.126799999999999500e+02,-6.287941012073821057e-01,-1.285918938295927029e-11
9.129099999999999682e+02,-6.287941012106115224e-01,-1.286998432515634979e-11
9.132100000000000364e+02,-6.287941012148214881e-01,-1.288439560212416689e-11
9.135599999999999454e+02,-6.287941012197544310e-01,-1.290103750894376587e-11
9.141299999999999955e+02,-6.287941012278173147e-01,-1.292820665575891179e-11
9.146699999999999591e+02,-6.287941012354556491e-01,-1.295387580973578427e-11
9.151499999999999773e+02,-6.287941012422448850e-01,-1.297646500370599036e-11
