Time, Currents, Velocities, Positions
1.807725667953491211e+00,8.295999769999999884e-01,8.011061266653972668e-01,2.733911181437614912e-01
1.823540449142456055e+00,8.855000140000000020e-01,7.539822368615503034e-01,2.904499662527540438e-01
1.838629961013793945e+00,8.449000119999999781e-01,7.696902001294992912e-01,2.920873680508844217e-01
1.854642391204833984e+00,9.226999879999999710e-01,8.011061266653972668e-01,3.037445789043906053e-01
1.870612382888793945e+00,9.114999769999999613e-01,8.168140899333461435e-01,3.054548447919089860e-01
1.886786460876464844e+00,9.765999909999999451e-01,8.168140899333461435e-01,3.151073882828954731e-01
1.902480125427246094e+00,1.010100006999999911e+00,8.325220532012951313e-01,3.168509722056378486e-01
1.917479038238525391e+00,1.057899952000000088e+00,8.168140899333461435e-01,3.273872418773360327e-01
1.933249950408935547e+00,9.415000079999999993e-01,8.011061266653972668e-01,3.291031835546380235e-01
1.949217319488525391e+00,1.038200020999999973e+00,8.011061266653972668e-01,3.401772976585420438e-01
1.964287519454956055e+00,1.043099999000000055e+00,7.696902001294992912e-01,3.662565969838757485e-01
1.979612588882446289e+00,1.055400013999999942e+00,8.168140899333461435e-01,3.772678792347080035e-01
1.994138240814208984e+00,1.002500057000000000e+00,8.011061266653972668e-01,3.789445510038401133e-01
2.010104179382324219e+00,1.060700058999999973e+00,8.011061266653972668e-01,3.893608325706827133e-01
2.024994134902954102e+00,9.871000049999999471e-01,8.011061266653972668e-01,3.918624793449843602e-01
2.041711330413818359e+00,1.058899999000000092e+00,8.011061266653972668e-01,4.021040713956870460e-01
2.060926437377929688e+00,1.025400043000000094e+00,7.853981633974482790e-01,4.037631329671994562e-01
2.072467803955078125e+00,1.113700031999999895e+00,7.696902001294992912e-01,4.145526322855366264e-01
2.088460445404052734e+00,9.682000280000000458e-01,7.853981633974482790e-01,4.162057417956074867e-01
2.103475332260131836e+00,9.599999790000000033e-01,7.853981633974482790e-01,4.269128971430606878e-01
2.119474411010742188e+00,9.199000000000000510e-01,7.853981633974482790e-01,4.285914708323852462e-01
2.135465621948242188e+00,9.472000000000000419e-01,8.168140899333461435e-01,4.397972007038744024e-01
2.151581048965454102e+00,8.513000010000000284e-01,8.168140899333461435e-01,4.415232052166049859e-01
2.166607618331909180e+00,1.070199965999999892e+00,8.011061266653972668e-01,4.528505181795399737e-01
2.182684183120727539e+00,9.100000259999999619e-01,8.011061266653972668e-01,4.545608147290026158e-01
2.197811841964721680e+00,9.463000299999999587e-01,7.539822368615503034e-01,4.771664453183249721e-01
2.213837146759033203e+00,9.103999729999999735e-01,7.539822368615503034e-01,4.788098294000180943e-01
2.229585170745849609e+00,1.038699985000000048e+00,7.853981633974482790e-01,4.901000816227371604e-01
2.245252370834350586e+00,9.894999859999999980e-01,7.539822368615503034e-01,4.917139212246381397e-01
2.260999202728271484e+00,9.054999950000000020e-01,8.011061266653972668e-01,5.010680133507017242e-01
2.276318550109863281e+00,1.008000015999999999e+00,8.011061266653972668e-01,5.027607000167040319e-01
2.292018413543701172e+00,8.614000080000000503e-01,8.168140899333461435e-01,5.139507216107659371e-01
2.307335138320922852e+00,1.041800022000000103e+00,8.325220532012951313e-01,5.156804690169840555e-01
2.322497844696044922e+00,8.399000170000000542e-01,8.011061266653972668e-01,5.266742026454125369e-01
2.337917804718017578e+00,9.768000249999999607e-01,7.853981633974482790e-01,5.283313927701811519e-01
2.352818489074707031e+00,1.001299976999999952e+00,7.539822368615503034e-01,5.383766352800345434e-01
2.367891788482666016e+00,1.087200045999999976e+00,7.853981633974482790e-01,5.400749359721087606e-01
2.383612155914306641e+00,1.024500012000000071e+00,7.853981633974482790e-01,5.507152404270084789e-01
2.398319482803344727e+00,8.898000120000000290e-01,7.696902001294992912e-01,5.523623674021891361e-01
2.414744377136230469e+00,8.921999929999999690e-01,8.325220532012951313e-01,5.634424335675346507e-01
2.429859399795532227e+00,8.697000150000000485e-01,8.168140899333461435e-01,5.651448453477553313e-01
2.445986986160278320e+00,9.455999729999999825e-01,8.168140899333461435e-01,5.763798432388830273e-01
2.461300373077392578e+00,9.097999930000000290e-01,8.168140899333461435e-01,5.781136712597989558e-01
2.476340770721435547e+00,9.710999729999999497e-01,7.539822368615503034e-01,5.891111474675556625e-01
