Time, Currents, Velocities, Positions
0.000000000000000000e+00,-1.069999999999999944e-02,0.000000000000000000e+00,4.523893600240083354e-05
1.005025125628140718e-02,-1.060000000000000005e-02,0.000000000000000000e+00,4.523893600240083354e-05
2.010050251256281437e-02,9.599999999999999159e-03,0.000000000000000000e+00,4.523893600240083354e-05
3.015075376884421982e-02,-1.030000000000000013e-02,0.000000000000000000e+00,4.523893600240083354e-05
4.020100502512562873e-02,8.600000000000000006e-03,0.000000000000000000e+00,4.523893600240083354e-05
5.025125628140703765e-02,9.100000000000000450e-03,0.000000000000000000e+00,4.523893600240083354e-05
6.030150753768843963e-02,-1.089999999999999997e-02,0.000000000000000000e+00,4.523893600240083354e-05
7.035175879396984855e-02,-1.050000000000000065e-02,0.000000000000000000e+00,4.523893600240083354e-05
8.040201005025125747e-02,-3.049999999999999933e-02,0.000000000000000000e+00,4.523893600240083354e-05
9.045226130653266639e-02,-1.140000000000000041e-02,0.000000000000000000e+00,4.523893600240083354e-05
1.005025125628140753e-01,-1.089999999999999997e-02,0.000000000000000000e+00,4.523893600240083354e-05
1.105527638190954842e-01,-1.110000000000000049e-02,0.000000000000000000e+00,4.523893600240083354e-05
1.206030150753768793e-01,-1.080000000000000057e-02,0.000000000000000000e+00,4.523893600240083354e-05
1.306532663316583021e-01,-1.149999999999999981e-02,0.000000000000000000e+00,4.523893600240083354e-05
1.407035175879396971e-01,7.799999999999999642e-03,0.000000000000000000e+00,4.523893600240083354e-05
1.507537688442211199e-01,7.599999999999999985e-03,0.000000000000000000e+00,4.523893600240083354e-05
1.608040201005025149e-01,-1.149999999999999981e-02,0.000000000000000000e+00,4.523893600240083354e-05
1.708542713567839100e-01,-1.159999999999999920e-02,0.000000000000000000e+00,4.523893600240083354e-05
1.809045226130653328e-01,-1.119999999999999989e-02,0.000000000000000000e+00,4.523893600240083354e-05
1.909547738693467278e-01,-1.230000000000000017e-02,0.000000000000000000e+00,4.523893600240083354e-05
2.010050251256281506e-01,-1.220000000000000077e-02,0.000000000000000000e+00,4.523893600240083354e-05
2.110552763819095456e-01,2.740000000000000074e-02,0.000000000000000000e+00,4.523893600240083354e-05
2.211055276381909684e-01,-5.099999899999999725e-02,0.000000000000000000e+00,4.523893600240083354e-05
2.311557788944723635e-01,-1.239999999999999956e-02,0.000000000000000000e+00,4.523893600240083354e-05
2.412060301507537585e-01,-1.200000000000000025e-02,0.000000000000000000e+00,4.523893600240083354e-05
2.512562814070351536e-01,-1.230000000000000017e-02,0.000000000000000000e+00,4.523893600240083354e-05
2.613065326633166041e-01,-1.220000000000000077e-02,0.000000000000000000e+00,4.523893600240083354e-05
2.713567839195979992e-01,-1.269999999999999948e-02,0.000000000000000000e+00,4.523893600240083354e-05
2.814070351758793942e-01,-1.250000000000000069e-02,0.000000000000000000e+00,4.523893600240083354e-05
2.914572864321607892e-01,-3.150000099999999970e-02,0.000000000000000000e+00,4.523893600240083354e-05
3.015075376884422398e-01,7.799999999999999642e-03,0.000000000000000000e+00,4.523893600240083354e-05
3.115577889447236348e-01,-1.220000000000000077e-02,0.000000000000000000e+00,4.523893600240083354e-05
3.216080402010050299e-01,-1.179999999999999973e-02,0.000000000000000000e+00,4.523893600240083354e-05
3.316582914572864249e-01,-1.170000000000000033e-02,0.000000000000000000e+00,4.523893600240083354e-05
3.417085427135678199e-01,2.750000000000000014e-02,0.000000000000000000e+00,4.523893600240083354e-05
3.517587939698492705e-01,-1.260000000000000009e-02,0.000000000000000000e+00,4.523893600240083354e-05
3.618090452261306655e-01,-1.230000000000000017e-02,0.000000000000000000e+00,4.523893600240083354e-05
3.718592964824120606e-01,-1.269999999999999948e-02,0.000000000000000000e+00,4.523893600240083354e-05
3.819095477386934556e-01,7.400000000000000328e-03,0.000000000000000000e+00,4.523893600240083354e-05
3.919597989949749062e-01,-1.260000000000000009e-02,0.000000000000000000e+00,4.523893600240083354e-05
4.020100502512563012e-01,1.088949966000000025e+01,2.000000000000000000e+03,1.196946783110632928e-04
4.120603015075376963e-01,1.055650042999999982e+01,7.450000780999999552e+04,1.981559566251761897e-02
4.221105527638190913e-01,3.409199952999999894e+00,1.320000156000000134e+05,6.949202949740622415e-02
4.321608040201004863e-01,1.069499968999999995e+00,1.330000156000000134e+05,1.276780990287368911e-01
4.422110552763819369e-01,-1.703799963000000028e+00,1.205000234000000055e+05,1.795065238313345302e-01
4.522613065326633319e-01,-8.229999999999999816e-02,9.100002344000000448e+04,2.238953412488424166e-01
4.623115577889447270e-01,-9.039999840000000342e-01,7.400002344000000448e+04,2.601062923072232080e-01
4.723618090452261220e-01,-1.012400031000000089e+00,5.850001952999999776e+04,2.884883729843644162e-01
4.824120603015075170e-01,-4.149000050000000162e-01,4.400001952999999776e+04,3.101989871687124145e-01
4.924623115577889676e-01,-6.049999999999999822e-02,3.250001953000000140e+04,3.262368176652883367e-01
5.025125628140703071e-01,1.199000030000000050e-01,2.550001953000000140e+04,3.387224396095129819e-01
5.125628140703517577e-01,6.319999699999999387e-02,2.050001953000000140e+04,3.487971958115504978e-01
5.226130653266332082e-01,8.730000300000000102e-02,1.550001952999999958e+04,3.568063856314607207e-01
5.326633165829145478e-01,1.946000009999999947e-01,1.350001952999999958e+04,3.631150043302859842e-01
5.427135678391959983e-01,3.206000030000000223e-01,1.050001952999999958e+04,3.679863751777018854e-01
5.527638190954774489e-01,3.896999959999999930e-01,8.000020019999999931e+03,3.719212199763231030e-01
5.628140703517587884e-01,2.712999879999999919e-01,6.500020019999999931e+03,3.748941053345039576e-01
5.728643216080402389e-01,3.003999889999999784e-01,5.000020019999999931e+03,3.776508528880290205e-01
5.829145728643215785e-01,4.963999989999999807e-01,4.000020019999999931e+03,3.795732069416090648e-01
5.929648241206030290e-01,4.808000029999999758e-01,3.500020019999999931e+03,3.809435426394080504e-01
6.030150753768844796e-01,2.657999990000000090e-01,3.500020019999999931e+03,3.825221929478369032e-01
6.130653266331658191e-01,3.842999939999999781e-01,2.000020019999999931e+03,3.838592720599643404e-01
6.231155778894472697e-01,5.486000180000000226e-01,1.000020020000000045e+03,3.846760861498976780e-01
6.331658291457286092e-01,5.309000019999999820e-01,1.500020019999999931e+03,3.853006309995201661e-01
6.432160804020100597e-01,5.997999910000000323e-01,5.000199890000000096e+02,3.857737413443023677e-01
6.532663316582915103e-01,5.415999889999999484e-01,1.000020020000000045e+03,3.862195468506951501e-01
6.633165829145728498e-01,5.346000189999999819e-01,5.000199890000000096e+02,3.866848032138434088e-01
6.733668341708543004e-01,5.997999910000000323e-01,5.000000000000000000e+02,3.870401346217239857e-01
6.834170854271356399e-01,4.578000010000000120e-01,2.000000000000000000e+03,3.874721036115926220e-01
6.934673366834170904e-01,2.030999960000000049e-01,3.000000000000000000e+03,3.883715378184041667e-01
7.035175879396985410e-01,2.307000009999999879e-01,2.000000000000000000e+03,3.893570592037464695e-01
7.135678391959798805e-01,4.311999979999999733e-01,0.000000000000000000e+00,3.896831527512779059e-01
7.236180904522613311e-01,4.911000130000000019e-01,0.000000000000000000e+00,3.897145686778138440e-01
7.336683417085426706e-01,5.123000140000000258e-01,0.000000000000000000e+00,3.897145686778138440e-01
7.437185929648241212e-01,5.123999710000000096e-01,5.000000000000000000e+02,3.897400020694594680e-01
7.537688442211055717e-01,5.928000209999999548e-01,0.000000000000000000e+00,3.897459846043497267e-01
7.638190954773869112e-01,6.151999830000000058e-01,0.000000000000000000e+00,3.898088164574214920e-01
7.738693467336683618e-01,6.176000240000000252e-01,0.000000000000000000e+00,3.898716483104933128e-01
7.839195979899498123e-01,5.995000000000000329e-01,0.000000000000000000e+00,3.899344801635651336e-01
7.939698492462311519e-01,6.295999880000000548e-01,5.000000000000000000e+02,3.900208739615388387e-01
8.040201005025126024e-01,-1.035980033999999961e+01,-5.000000000000000000e+02,3.901386836860484264e-01
8.140703517587939420e-01,-1.066619968000000007e+01,-7.900000780999999552e+04,3.696162296764731181e-01
8.241206030150753925e-01,-4.050700188000000423e+00,-1.300000078000000067e+05,3.197374637658448870e-01
8.341708542713568431e-01,2.342600106999999987e+00,-1.345000156000000134e+05,2.590321682701123840e-01
8.442211055276381826e-01,1.322800039999999955e+00,-1.085000234000000055e+05,2.064968851204571076e-01
8.542713567839196331e-01,1.062700033000000044e+00,-9.300002344000000448e+04,1.627461270244329739e-01
8.643216080402009727e-01,8.884999749999999974e-01,-7.000002344000000448e+04,1.279002041001426337e-01
8.743718592964824232e-01,7.764000300000000188e-01,-5.450001952999999776e+04,1.010197985853116126e-01
8.844221105527638738e-01,3.797999919999999752e-01,-4.100001952999999776e+04,8.060918709632781953e-02
8.944723618090452133e-01,6.060000100000000056e-02,-3.200001953000000140e+04,6.483839197530706644e-02
9.045226130653266639e-01,5.669999900000000093e-02,-2.600001953000000140e+04,5.230751768227005077e-02
9.145728643216080034e-01,-5.799999799999999706e-02,-2.000001953000000140e+04,4.260188319180940875e-02
9.246231155778894539e-01,-2.240999939999999968e-01,-1.450001952999999958e+04,3.470485803140142128e-02
9.346733668341709045e-01,-3.456000089999999858e-01,-1.150001952999999958e+04,2.856870096001146164e-02
9.447236180904522440e-01,-3.010999859999999861e-01,-9.000019530999999915e+03,2.369546258970101418e-02
9.547738693467336946e-01,-2.694000010000000001e-01,-8.000020019999999931e+03,1.976438754832606642e-02
9.648241206030150341e-01,-3.946000040000000042e-01,-5.500020019999999931e+03,1.694292326467688667e-02
9.748743718592964846e-01,-2.951999900000000232e-01,-6.000020019999999931e+03,1.439037923363518066e-02
9.849246231155779352e-01,-3.158999980000000152e-01,-4.500020019999999931e+03,1.233263604553386759e-02
9.949748743718592747e-01,-6.122000220000000104e-01,-2.500020019999999931e+03,1.095222015500669534e-02
1.005025125628140614e+00,-5.030999779999999477e-01,-3.000020019999999931e+03,1.016682199160924734e-02
1.015075376884422065e+00,-3.573999999999999955e-01,-3.000020019999999931e+03,9.022340017242750851e-03
1.025125628140703515e+00,-3.282000119999999854e-01,-2.500020019999999931e+03,7.895136422338284651e-03
1.035175879396984966e+00,-2.567000090000000068e-01,-2.500020019999999931e+03,6.897680754823525516e-03
