Times (s), Currents (A), Velocities (rads^-1), Positions(rads)
18.174,0,-1.51623e-09,-2.99407e-08
18.176,0,4.4285e-08,-3.48269e-08
18.178,0,5.32717e-08,-3.51568e-08
18.18,0,1.51623e-09,-2.9941e-08
18.182,0,-4.4285e-08,-3.48295e-08
18.184,0,-5.32717e-08,-3.51592e-08
18.186,0,-1.51623e-09,-2.99407e-08
18.188,0,4.4285e-08,-3.48269e-08
18.19,0,5.32717e-08,-3.51568e-08
18.192,0,1.51623e-09,-2.9941e-08
18.194,0,-4.4285e-08,-3.48295e-08
18.196,0,-5.32717e-08,-3.51592e-08
18.198,0,-1.51623e-09,-2.99407e-08
18.2,0,4.4285e-08,-3.48269e-08
18.202,0,5.32717e-08,-3.51568e-08
18.204,0,1.51623e-09,-2.9941e-08
18.206,0,-4.4285e-08,-3.48295e-08
18.208,0,-5.32717e-08,-3.51592e-08
18.21,0,-1.51623e-09,-2.99407e-08
18.212,0,4.4285e-08,-3.48269e-08
18.214,0,5.32717e-08,-3.51568e-08
18.216,0,1.51623e-09,-2.9941e-08
18.218,0,-4.4285e-08,-3.48295e-08
18.22,0,-5.32717e-08,-3.51592e-08
18.222,0,-1.51623e-09,-2.99407e-08
18.224,0,4.4285e-08,-3.48269e-08
18.226,0,5.32717e-08,-3.51568e-08
18.228,0,1.51623e-09,-2.9941e-08
18.23,0,-4.4285e-08,-3.48295e-08
18.232,0,-5.32717e-08,-3.51592e-08
18.234,0,-1.51623e-09,-2.99407e-08
18.236,0,4.4285e-08,-3.48269e-08
18.238,0,5.32717e-08,-3.51568e-08
18.24,0,1.51623e-09,-2.9941e-08
18.242,0,-4.4285e-08,-3.48295e-08
18.244,0,-5.32717e-08,-3.51592e-08
18.246,0,-1.51623e-09,-2.99407e-08
18.248,0,4.4285e-08,-3.48269e-08
18.25,0,5.32717e-08,-3.51568e-08
18.252,0,1.51623e-09,-2.9941e-08
18.254,0,-4.4285e-08,-3.48295e-08
18.256,0,-5.32717e-08,-3.51592e-08
18.258,0,-1.51623e-09,-2.99407e-08
18.26,0,4.4285e-08,-3.48269e-08
18.262,0,5.32717e-08,-3.51568e-08
18.264,0,1.51623e-09,-2.9941e-08
18.266,0,-4.4285e-08,-3.48295e-08
18.268,0,-5.32717e-08,-3.51592e-08
18.27,0,-1.51623e-09,-2.99407e-08
18.272,0,4.4285e-08,-3.48269e-08
18.274,0,5.32717e-08,-3.51568e-08
18.276,0,1.51623e-09,-2.9941e-08
18.278,0,-4.4285e-08,-3.48295e-08
18.28,0,-5.32717e-08,-3.51592e-08
18.282,0,-1.51623e-09,-2.99407e-08
18.284,0,4.4285e-08,-3.48269e-08
18.286,0,5.32717e-08,-3.51568e-08
18.288,0,1.51623e-09,-2.9941e-08
18.29,0,-4.4285e-08,-3.48295e-08
18.292,0,-5.32717e-08,-3.51592e-08
18.294,0,-1.51623e-09,-2.99407e-08
18.296,0,4.4285e-08,-3.48269e-08
18.298,0,5.32717e-08,-3.51568e-08
18.3,0,1.51623e-09,-2.9941e-08
18.302,0,-4.4285e-08,-3.48295e-08
18.304,0,-5.32717e-08,-3.51592e-08
18.306,0,-1.51623e-09,-2.99407e-08
18.308,0,4.4285e-08,-3.48269e-08
18.31,0,5.32717e-08,-3.51568e-08
18.312,0,1.51623e-09,-2.9941e-08
18.314,0,-4.4285e-08,-3.48295e-08
18.316,0,-5.32717e-08,-3.51592e-08
18.318,0,-1.51623e-09,-2.99407e-08
18.32,0,4.4285e-08,-3.48269e-08
18.322,0,5.32717e-08,-3.51568e-08
18.324,0,1.51623e-09,-2.9941e-08
18.326,0,-4.4285e-08,-3.48295e-08
18.328,0,-5.32717e-08,-3.51592e-08
18.33,0,-1.51623e-09,-2.99407e-08
18.332,0,4.4285e-08,-3.48269e-08
18.334,0,5.32717e-08,-3.51568e-08
18.336,0,1.51623e-09,-2.9941e-08
18.338,0,-4.4285e-08,-3.48295e-08
18.34,0,-5.32717e-08,-3.51592e-08
18.342,0,-1.51623e-09,-2.99407e-08
18.344,0,4.4285e-08,-3.48269e-08
18.346,0,5.32717e-08,-3.51568e-08
18.348,0,1.51623e-09,-2.9941e-08
18.35,0,-4.4285e-08,-3.48295e-08
18.352,0,-5.32717e-08,-3.51592e-08
18.354,0,-1.51623e-09,-2.99407e-08
18.356,0,4.4285e-08,-3.48269e-08
18.358,0,5.32717e-08,-3.51568e-08
18.36,0,1.51623e-09,-2.9941e-08
18.362,0,-4.4285e-08,-3.48295e-08
18.364,0,-5.32717e-08,-3.51592e-08
18.366,0,-1.51623e-09,-2.99407e-08
18.368,0,4.4285e-08,-3.48269e-08
18.37,0,5.32717e-08,-3.51568e-08
18.372,0,1.51623e-09,-2.9941e-08
18.374,0,-4.4285e-08,-3.48295e-08
18.376,0,-5.32717e-08,-3.51592e-08
18.378,0,-1.51623e-09,-2.99407e-08
18.38,0,4.4285e-08,-3.48269e-08
18.382,0,5.32717e-08,-3.51568e-08
18.384,0,1.51623e-09,-2.9941e-08
18.386,0,-4.4285e-08,-3.48295e-08
18.388,0,-5.32717e-08,-3.51592e-08
18.39,0,-1.51623e-09,-2.99407e-08
18.392,0,4.4285e-08,-3.48269e-08
18.394,0,5.32717e-08,-3.51568e-08
18.396,0,1.51623e-09,-2.9941e-08
18.398,0,-4.4285e-08,-3.48295e-08
18.4,0,-5.32717e-08,-3.51592e-08
18.402,0,-1.51623e-09,-2.99407e-08
18.404,0,4.4285e-08,-3.48269e-08
18.406,0,5.32717e-08,-3.51568e-08
18.408,0,1.51623e-09,-2.9941e-08
18.41,0,-4.4285e-08,-3.48295e-08
18.412,0,-5.32717e-08,-3.51592e-08
18.414,0,-1.51623e-09,-2.99407e-08
18.416,0,4.4285e-08,-3.48269e-08
18.418,0,5.32717e-08,-3.51568e-08
18.42,0,1.51623e-09,-2.9941e-08
18.422,0,-4.4285e-08,-3.48295e-08
18.424,0,-5.32717e-08,-3.51592e-08
18.426,0,-1.51623e-09,-2.99407e-08
18.428,0,4.4285e-08,-3.48269e-08
18.43,0,5.32717e-08,-3.51568e-08
18.432,0,1.51623e-09,-2.9941e-08
18.434,0,-4.4285e-08,-3.48295e-08
18.436,0,-5.32717e-08,-3.51592e-08
18.438,0,-1.51623e-09,-2.99407e-08
18.44,0,4.4285e-08,-3.48269e-08
18.442,0,5.32717e-08,-3.51568e-08
18.444,0,1.51623e-09,-2.9941e-08
18.446,0,-4.4285e-08,-3.48295e-08
18.448,0,-5.32717e-08,-3.51592e-08
18.45,0,-1.51623e-09,-2.99407e-08
18.452,0,4.4285e-08,-3.48269e-08
18.454,0,5.32717e-08,-3.51568e-08
18.456,0,1.51623e-09,-2.9941e-08
18.458,0,-4.4285e-08,-3.48295e-08
18.46,0,-5.32717e-08,-3.51592e-08
18.462,0,-1.51623e-09,-2.99407e-08
18.464,0,4.4285e-08,-3.48269e-08
18.466,0,5.32717e-08,-3.51568e-08
18.468,0,1.51623e-09,-2.9941e-08
18.47,0,-4.4285e-08,-3.48295e-08
18.472,0,-5.32717e-08,-3.51592e-08
18.474,0,-1.51623e-09,-2.99407e-08
18.476,0,4.4285e-08,-3.48269e-08
18.478,0,5.32717e-08,-3.51568e-08
18.48,0,1.51623e-09,-2.9941e-08
18.482,0,-4.4285e-08,-3.48295e-08
18.484,0,-5.32717e-08,-3.51592e-08
18.486,0,-1.51623e-09,-2.99407e-08
18.488,0,4.4285e-08,-3.48269e-08
18.49,0,5.32717e-08,-3.51568e-08
18.492,0,1.51623e-09,-2.9941e-08
18.494,0,-4.4285e-08,-3.48295e-08
18.496,0,-5.32717e-08,-3.51592e-08
18.498,0,-1.51623e-09,-2.99407e-08
18.5,0,4.4285e-08,-3.48269e-08
18.502,0,5.32717e-08,-3.51568e-08
18.504,0,1.51623e-09,-2.9941e-08
18.506,0,-4.4285e-08,-3.48295e-08
18.508,0,-5.32717e-08,-3.51592e-08
18.51,0,-1.51623e-09,-2.99407e-08
18.512,0,4.4285e-08,-3.48269e-08
18.514,0,5.32717e-08,-3.51568e-08
18.516,0,1.51623e-09,-2.9941e-08
18.518,0,-4.4285e-08,-3.48295e-08
18.52,0,-5.32717e-08,-3.51592e-08
18.522,0,-1.51623e-09,-2.99407e-08
18.524,0,4.4285e-08,-3.48269e-08
18.526,0,5.32717e-08,-3.51568e-08
18.528,0,1.51623e-09,-2.9941e-08
18.53,0,-4.4285e-08,-3.48295e-08
18.532,0,-5.32717e-08,-3.51592e-08
18.534,0,-1.51623e-09,-2.99407e-08
18.536,0,4.4285e-08,-3.48269e-08
18.538,0,5.32717e-08,-3.51568e-08
18.54,0,1.51623e-09,-2.9941e-08
18.542,0,-4.4285e-08,-3.48295e-08
18.544,0,-5.32717e-08,-3.51592e-08
18.546,0,-1.51623e-09,-2.99407e-08
18.548,0,4.4285e-08,-3.48269e-08
18.55,0,5.32717e-08,-3.51568e-08
18.552,0,1.51623e-09,-2.9941e-08
18.554,0,-4.4285e-08,-3.48295e-08
18.556,0,-5.32717e-08,-3.51592e-08
18.558,0,-1.51623e-09,-2.99407e-08
18.56,0,4.4285e-08,-3.48269e-08
18.562,0,5.32717e-08,-3.51568e-08
18.564,0,1.51623e-09,-2.9941e-08
18.566,0,-4.4285e-08,-3.48295e-08
18.568,0,-5.32717e-08,-3.51592e-08
18.57,0,-1.51623e-09,-2.99407e-08
18.572,0,4.4285e-08,-3.48269e-08
18.574,0,5.32717e-08,-3.51568e-08
18.576,0,1.51623e-09,-2.9941e-08
18.578,0,-4.4285e-08,-3.48295e-08
18.58,0,-5.32717e-08,-3.51592e-08
18.582,0,-1.51623e-09,-2.99407e-08
18.584,0,4.4285e-08,-3.48269e-08
18.586,0,5.32717e-08,-3.51568e-08
18.588,0,1.51623e-09,-2.9941e-08
18.59,0,-4.4285e-08,-3.48295e-08
18.592,0,-5.32717e-08,-3.51592e-08
18.594,0,-1.51623e-09,-2.99407e-08
18.596,0,4.4285e-08,-3.48269e-08
18.598,0,5.32717e-08,-3.51568e-08
18.6,0,1.51623e-09,-2.9941e-08
18.602,0,-4.4285e-08,-3.48295e-08
18.604,0,-5.32717e-08,-3.51592e-08
18.606,0,-1.51623e-09,-2.99407e-08
18.608,0,4.4285e-08,-3.48269e-08
18.61,0,5.32717e-08,-3.51568e-08
18.612,0,1.51623e-09,-2.9941e-08
18.614,0,-4.4285e-08,-3.48295e-08
18.616,0,-5.32717e-08,-3.51592e-08
18.618,0,-1.51623e-09,-2.99407e-08
18.62,0,4.4285e-08,-3.48269e-08
18.622,0,5.32717e-08,-3.51568e-08
18.624,0,1.51623e-09,-2.9941e-08
18.626,0,-4.4285e-08,-3.48295e-08
18.628,0,-5.32717e-08,-3.51592e-08
18.63,0,-1.51623e-09,-2.99407e-08
18.632,0,4.4285e-08,-3.48269e-08
18.634,0,5.32717e-08,-3.51568e-08
18.636,0,1.51623e-09,-2.9941e-08
18.638,0,-4.4285e-08,-3.48295e-08
18.64,0,-5.32717e-08,-3.51592e-08
18.642,0,-1.51623e-09,-2.99407e-08
18.644,0,4.4285e-08,-3.48269e-08
18.646,0,5.32717e-08,-3.51568e-08
18.648,0,1.51623e-09,-2.9941e-08
18.65,0,-4.4285e-08,-3.48295e-08
18.652,0,-5.32717e-08,-3.51592e-08
18.654,0,-1.51623e-09,-2.99407e-08
18.656,0,4.4285e-08,-3.48269e-08
18.658,0,5.32717e-08,-3.51568e-08
18.66,0,1.51623e-09,-2.9941e-08
18.662,0,-4.4285e-08,-3.48295e-08
18.664,0,-5.32717e-08,-3.51592e-08
18.666,0,-1.51623e-09,-2.99407e-08
18.668,0,4.4285e-08,-3.48269e-08
18.67,0,5.32717e-08,-3.51568e-08
18.672,0,1.51623e-09,-2.9941e-08
18.674,0,-4.4285e-08,-3.48295e-08
18.676,0,-5.32717e-08,-3.51592e-08
18.678,0,-1.51623e-09,-2.99407e-08
18.68,0,4.4285e-08,-3.48269e-08
18.682,0,5.32717e-08,-3.51568e-08
18.684,0,1.51623e-09,-2.9941e-08
18.686,0,-4.4285e-08,-3.48295e-08
18.688,0,-5.32717e-08,-3.51592e-08
18.69,0,-1.51623e-09,-2.99407e-08
18.692,0,4.4285e-08,-3.48269e-08
18.694,0,5.32717e-08,-3.51568e-08
18.696,0,1.51623e-09,-2.9941e-08
18.698,0,-4.4285e-08,-3.48295e-08
18.7,0,-5.32717e-08,-3.51592e-08
18.702,0,-1.51623e-09,-2.99407e-08
18.704,0,4.4285e-08,-3.48269e-08
18.706,0,5.32717e-08,-3.51568e-08
18.708,0,1.51623e-09,-2.9941e-08
18.71,0,-4.4285e-08,-3.48295e-08
18.712,0,-5.32717e-08,-3.51592e-08
18.714,0,-1.51623e-09,-2.99407e-08
18.716,0,4.4285e-08,-3.48269e-08
18.718,0,5.32717e-08,-3.51568e-08
18.72,0,1.51623e-09,-2.9941e-08
18.722,0,-4.4285e-08,-3.48295e-08
18.724,0,-5.32717e-08,-3.51592e-08
18.726,0,-1.51623e-09,-2.99407e-08
18.728,0,4.4285e-08,-3.48269e-08
18.73,0,5.32717e-08,-3.51568e-08
18.732,0,1.51623e-09,-2.9941e-08
18.734,0,-4.4285e-08,-3.48295e-08
18.736,0,-5.32717e-08,-3.51592e-08
18.738,0,-1.51623e-09,-2.99407e-08
18.74,0,4.4285e-08,-3.48269e-08
18.742,0,5.32717e-08,-3.51568e-08
18.744,0,1.51623e-09,-2.9941e-08
18.746,0,-4.4285e-08,-3.48295e-08
18.748,0,-5.32717e-08,-3.51592e-08
18.75,0,-1.51623e-09,-2.99407e-08
18.752,0,4.4285e-08,-3.48269e-08
18.754,0,5.32717e-08,-3.51568e-08
18.756,0,1.51623e-09,-2.9941e-08
18.758,0,-4.4285e-08,-3.48295e-08
18.76,0,-5.32717e-08,-3.51592e-08
18.762,0,-1.51623e-09,-2.99407e-08
18.764,0,4.4285e-08,-3.48269e-08
18.766,0,5.32717e-08,-3.51568e-08
18.768,0,1.51623e-09,-2.9941e-08
18.77,0,-4.4285e-08,-3.48295e-08
18.772,0,-5.32717e-08,-3.51592e-08
18.774,0,-1.51623e-09,-2.99407e-08
18.776,0,4.4285e-08,-3.48269e-08
18.778,0,5.32717e-08,-3.51568e-08
18.78,0,1.51623e-09,-2.9941e-08
18.782,0,-4.4285e-08,-3.48295e-08
18.784,0,-5.32717e-08,-3.51592e-08
18.786,0,-1.51623e-09,-2.99407e-08
18.788,0,4.4285e-08,-3.48269e-08
18.79,0,5.32717e-08,-3.51568e-08
18.792,0,1.51623e-09,-2.9941e-08
18.794,0,-4.4285e-08,-3.48295e-08
18.796,0,-5.32717e-08,-3.51592e-08
18.798,0,-1.51623e-09,-2.99407e-08
18.8,0,4.4285e-08,-3.48269e-08
18.802,0,5.32717e-08,-3.51568e-08
18.804,0,1.51623e-09,-2.9941e-08
18.806,0,-4.4285e-08,-3.48295e-08
18.808,0,-5.32717e-08,-3.51592e-08
18.81,0,-1.51623e-09,-2.99407e-08
18.812,0,4.4285e-08,-3.48269e-08
18.814,0,5.32717e-08,-3.51568e-08
18.816,0,1.51623e-09,-2.9941e-08
18.818,0,-4.4285e-08,-3.48295e-08
18.82,0,-5.32717e-08,-3.51592e-08
18.822,0,-1.51623e-09,-2.99407e-08
18.824,0,4.4285e-08,-3.48269e-08
18.826,0,5.32717e-08,-3.51568e-08
18.828,0,1.51623e-09,-2.9941e-08
18.83,0,-4.4285e-08,-3.48295e-08
18.832,0,-5.32717e-08,-3.51592e-08
18.834,0,-1.51623e-09,-2.99407e-08
18.836,0,4.4285e-08,-3.48269e-08
18.838,0,5.32717e-08,-3.51568e-08
18.84,0,1.51623e-09,-2.9941e-08
18.842,0,-4.4285e-08,-3.48295e-08
18.844,0,-5.32717e-08,-3.51592e-08
18.846,0,-1.51623e-09,-2.99407e-08
18.848,0,4.4285e-08,-3.48269e-08
18.85,0,5.32717e-08,-3.51568e-08
18.852,0,1.51623e-09,-2.9941e-08
18.854,0,-4.4285e-08,-3.48295e-08
18.856,0,-5.32717e-08,-3.51592e-08
18.858,0,-1.51623e-09,-2.99407e-08
18.86,0,4.4285e-08,-3.48269e-08
18.862,0,5.32717e-08,-3.51568e-08
18.864,0,1.51623e-09,-2.9941e-08
18.866,0,-4.4285e-08,-3.48295e-08
18.868,0,-5.32717e-08,-3.51592e-08
18.87,0,-1.51623e-09,-2.99407e-08
18.872,0,4.4285e-08,-3.48269e-08
18.874,0,5.32717e-08,-3.51568e-08
18.876,0,1.51623e-09,-2.9941e-08
18.878,0,-4.4285e-08,-3.48295e-08
18.88,0,-5.32717e-08,-3.51592e-08
18.882,0,-1.51623e-09,-2.99407e-08
18.884,0,4.4285e-08,-3.48269e-08
18.886,0,5.32717e-08,-3.51568e-08
18.888,0,1.51623e-09,-2.9941e-08
18.89,0,-4.4285e-08,-3.48295e-08
18.892,0,-5.32717e-08,-3.51592e-08
18.894,0,-1.51623e-09,-2.99407e-08
18.896,0,4.4285e-08,-3.48269e-08
18.898,0,5.32717e-08,-3.51568e-08
18.9,0,1.51623e-09,-2.9941e-08
18.902,0,-4.4285e-08,-3.48295e-08
18.904,0,-5.32717e-08,-3.51592e-08
18.906,0,-1.51623e-09,-2.99407e-08
18.908,0,4.4285e-08,-3.48269e-08
18.91,0,5.32717e-08,-3.51568e-08
18.912,0,1.51623e-09,-2.9941e-08
18.914,0,-4.4285e-08,-3.48295e-08
18.916,0,-5.32717e-08,-3.51592e-08
18.918,0,-1.51623e-09,-2.99407e-08
18.92,0,4.4285e-08,-3.48269e-08
18.922,0,5.32717e-08,-3.51568e-08
18.924,0,1.51623e-09,-2.9941e-08
18.926,0,-4.4285e-08,-3.48295e-08
18.928,0,-5.32717e-08,-3.51592e-08
18.93,0,-1.51623e-09,-2.99407e-08
18.932,0,4.4285e-08,-3.48269e-08
18.934,0,5.32717e-08,-3.51568e-08
18.936,0,1.51623e-09,-2.9941e-08
18.938,0,-4.4285e-08,-3.48295e-08
18.94,0,-5.32717e-08,-3.51592e-08
18.942,0,-1.51623e-09,-2.99407e-08
18.944,0,4.4285e-08,-3.48269e-08
18.946,0,5.32717e-08,-3.51568e-08
18.948,0,1.51623e-09,-2.9941e-08
18.95,0,-4.4285e-08,-3.48295e-08
18.952,0,-5.32717e-08,-3.51592e-08
18.954,0,-1.51623e-09,-2.99407e-08
18.956,0,4.4285e-08,-3.48269e-08
18.958,0,5.32717e-08,-3.51568e-08
18.96,0,1.51623e-09,-2.9941e-08
18.962,0,-4.4285e-08,-3.48295e-08
18.964,0,-5.32717e-08,-3.51592e-08
18.966,0,-1.51623e-09,-2.99407e-08
18.968,0,4.4285e-08,-3.48269e-08
18.97,0,5.32717e-08,-3.51568e-08
18.972,0,1.51623e-09,-2.9941e-08
18.974,0,-4.4285e-08,-3.48295e-08
18.976,0,-5.32717e-08,-3.51592e-08
18.978,0,-1.51623e-09,-2.99407e-08
18.98,0,4.4285e-08,-3.48269e-08
18.982,0,5.32717e-08,-3.51568e-08
18.984,0,1.51623e-09,-2.9941e-08
18.986,0,-4.4285e-08,-3.48295e-08
18.988,0,-5.32717e-08,-3.51592e-08
18.99,0,-1.51623e-09,-2.99407e-08
18.992,0,4.4285e-08,-3.48269e-08
18.994,0,5.32717e-08,-3.51568e-08
18.996,0,1.51623e-09,-2.9941e-08
18.998,0,-4.4285e-08,-3.48295e-08
19,0,-5.32717e-08,-3.51592e-08
19.002,0,-1.51623e-09,-2.99407e-08
19.004,0,4.4285e-08,-3.48269e-08
19.006,0,5.32717e-08,-3.51568e-08
19.008,0,1.51623e-09,-2.9941e-08
19.01,0,-4.4285e-08,-3.48295e-08
19.012,0,-5.32717e-08,-3.51592e-08
19.014,0,-1.51623e-09,-2.99407e-08
19.016,0,4.4285e-08,-3.48269e-08
19.018,0,5.32717e-08,-3.51568e-08
19.02,0,1.51623e-09,-2.9941e-08
19.022,0,-4.4285e-08,-3.48295e-08
19.024,0,-5.32717e-08,-3.51592e-08
19.026,0,-1.51623e-09,-2.99407e-08
19.028,0,4.4285e-08,-3.48269e-08
19.03,0,5.32717e-08,-3.51568e-08
19.032,0,1.51623e-09,-2.9941e-08
19.034,0,-4.4285e-08,-3.48295e-08
19.036,0,-5.32717e-08,-3.51592e-08
19.038,0,-1.51623e-09,-2.99407e-08
19.04,0,4.4285e-08,-3.48269e-08
19.042,0,5.32717e-08,-3.51568e-08
19.044,0,1.51623e-09,-2.9941e-08
19.046,0,-4.4285e-08,-3.48295e-08
19.048,0,-5.32717e-08,-3.51592e-08
19.05,0,-1.51623e-09,-2.99407e-08
19.052,0,4.4285e-08,-3.48269e-08
19.054,0,5.32717e-08,-3.51568e-08
19.056,0,1.51623e-09,-2.9941e-08
19.058,0,-4.4285e-08,-3.48295e-08
19.06,0,-5.32717e-08,-3.51592e-08
19.062,0,-1.51623e-09,-2.99407e-08
19.064,0,4.4285e-08,-3.48269e-08
19.066,0,5.32717e-08,-3.51568e-08
19.068,0,1.51623e-09,-2.9941e-08
19.07,0,-4.4285e-08,-3.48295e-08
19.072,0,-5.32717e-08,-3.51592e-08
19.074,0,-1.51623e-09,-2.99407e-08
19.076,0,4.4285e-08,-3.48269e-08
19.078,0,5.32717e-08,-3.51568e-08
19.08,0,1.51623e-09,-2.9941e-08
19.082,0,-4.4285e-08,-3.48295e-08
19.084,0,-5.32717e-08,-3.51592e-08
19.086,0,-1.51623e-09,-2.99407e-08
19.088,0,4.4285e-08,-3.48269e-08
19.09,0,5.32717e-08,-3.51568e-08
19.092,0,1.51623e-09,-2.9941e-08
19.094,0,-4.4285e-08,-3.48295e-08
19.096,0,-5.32717e-08,-3.51592e-08
19.098,0,-1.51623e-09,-2.99407e-08
19.1,0,4.4285e-08,-3.48269e-08
19.102,0,5.32717e-08,-3.51568e-08
19.104,0,1.51623e-09,-2.9941e-08
19.106,0,-4.4285e-08,-3.48295e-08
19.108,0,-5.32717e-08,-3.51592e-08
19.11,0,-1.51623e-09,-2.99407e-08
19.112,0,4.4285e-08,-3.48269e-08
19.114,0,5.32717e-08,-3.51568e-08
19.116,0,1.51623e-09,-2.9941e-08
19.118,0,-4.4285e-08,-3.48295e-08
19.12,0,-5.32717e-08,-3.51592e-08
19.122,0,-1.51623e-09,-2.99407e-08
19.124,0,4.4285e-08,-3.48269e-08
19.126,0,5.32717e-08,-3.51568e-08
19.128,0,1.51623e-09,-2.9941e-08
19.13,0,-4.4285e-08,-3.48295e-08
19.132,0,-5.32717e-08,-3.51592e-08
19.134,0,-1.51623e-09,-2.99407e-08
19.136,0,4.4285e-08,-3.48269e-08
19.138,0,5.32717e-08,-3.51568e-08
19.14,0,1.51623e-09,-2.9941e-08
19.142,0,-4.4285e-08,-3.48295e-08
19.144,0,-5.32717e-08,-3.51592e-08
19.146,0,-1.51623e-09,-2.99407e-08
19.148,0,4.4285e-08,-3.48269e-08
19.15,0,5.32717e-08,-3.51568e-08
19.152,0,1.51623e-09,-2.9941e-08
19.154,0,-4.4285e-08,-3.48295e-08
19.156,0,-5.32717e-08,-3.51592e-08
19.158,0,-1.51623e-09,-2.99407e-08
19.16,0,4.4285e-08,-3.48269e-08
19.162,0,5.32717e-08,-3.51568e-08
19.164,0,1.51623e-09,-2.9941e-08
19.166,0,-4.4285e-08,-3.48295e-08
19.168,0,-5.32717e-08,-3.51592e-08
19.17,0,-1.51623e-09,-2.99407e-08
19.172,0,4.4285e-08,-3.48269e-08
19.174,0,5.32717e-08,-3.51568e-08
19.176,0,1.51623e-09,-2.9941e-08
19.178,0,-4.4285e-08,-3.48295e-08
19.18,0,-5.32717e-08,-3.51592e-08
19.182,0,-1.51623e-09,-2.99407e-08
19.184,0,4.4285e-08,-3.48269e-08
19.186,0,5.32717e-08,-3.51568e-08
19.188,0,1.51623e-09,-2.9941e-08
19.19,0,-4.4285e-08,-3.48295e-08
19.192,0,-5.32717e-08,-3.51592e-08
19.194,0,-1.51623e-09,-2.99407e-08
19.196,0,4.4285e-08,-3.48269e-08
19.198,0,5.32717e-08,-3.51568e-08
19.2,0,1.51623e-09,-2.9941e-08
19.202,0,-4.4285e-08,-3.48295e-08
19.204,0,-5.32717e-08,-3.51592e-08
19.206,0,-1.51623e-09,-2.99407e-08
19.208,0,4.4285e-08,-3.48269e-08
19.21,0,5.32717e-08,-3.51568e-08
19.212,0,1.51623e-09,-2.9941e-08
19.214,0,-4.4285e-08,-3.48295e-08
19.216,0,-5.32717e-08,-3.51592e-08
19.218,0,-1.51623e-09,-2.99407e-08
19.22,0,4.4285e-08,-3.48269e-08
19.222,0,5.32717e-08,-3.51568e-08
19.224,0,1.51623e-09,-2.9941e-08
19.226,0,-4.4285e-08,-3.48295e-08
19.228,0,-5.32717e-08,-3.51592e-08
19.23,0,-1.51623e-09,-2.99407e-08
19.232,0,4.4285e-08,-3.48269e-08
19.234,0,5.32717e-08,-3.51568e-08
19.236,0,1.51623e-09,-2.9941e-08
19.238,0,-4.4285e-08,-3.48295e-08
19.24,0,-5.32717e-08,-3.51592e-08
19.242,0,-1.51623e-09,-2.99407e-08
19.244,0,4.4285e-08,-3.48269e-08
19.246,0,5.32717e-08,-3.51568e-08
19.248,0,1.51623e-09,-2.9941e-08
19.25,0,-4.4285e-08,-3.48295e-08
19.252,0,-5.32717e-08,-3.51592e-08
19.254,0,-1.51623e-09,-2.99407e-08
19.256,0,4.4285e-08,-3.48269e-08
19.258,0,5.32717e-08,-3.51568e-08
19.26,0,1.51623e-09,-2.9941e-08
19.262,0,-4.4285e-08,-3.48295e-08
19.264,0,-5.32717e-08,-3.51592e-08
19.266,0,-1.51623e-09,-2.99407e-08
19.268,0,4.4285e-08,-3.48269e-08
19.27,0,5.32717e-08,-3.51568e-08
19.272,0,1.51623e-09,-2.9941e-08
19.274,0,-4.4285e-08,-3.48295e-08
19.276,0,-5.32717e-08,-3.51592e-08
19.278,0,-1.51623e-09,-2.99407e-08
19.28,0,4.4285e-08,-3.48269e-08
19.282,0,5.32717e-08,-3.51568e-08
19.284,0,1.51623e-09,-2.9941e-08
19.286,0,-4.4285e-08,-3.48295e-08
19.288,0,-5.32717e-08,-3.51592e-08
19.29,0,-1.51623e-09,-2.99407e-08
19.292,0,4.4285e-08,-3.48269e-08
19.294,0,5.32717e-08,-3.51568e-08
19.296,0,1.51623e-09,-2.9941e-08
19.298,0,-4.4285e-08,-3.48295e-08
19.3,0,-5.32717e-08,-3.51592e-08
19.302,0,-1.51623e-09,-2.99407e-08
19.304,0,4.4285e-08,-3.48269e-08
19.306,0,5.32717e-08,-3.51568e-08
19.308,0,1.51623e-09,-2.9941e-08
19.31,0,-4.4285e-08,-3.48295e-08
19.312,0,-5.32717e-08,-3.51592e-08
19.314,0,-1.51623e-09,-2.99407e-08
19.316,0,4.4285e-08,-3.48269e-08
19.318,0,5.32717e-08,-3.51568e-08
19.32,0,1.51623e-09,-2.9941e-08
19.322,0,-4.4285e-08,-3.48295e-08
19.324,0,-5.32717e-08,-3.51592e-08
19.326,0,-1.51623e-09,-2.99407e-08
19.328,0,4.4285e-08,-3.48269e-08
19.33,0,5.32717e-08,-3.51568e-08
19.332,0,1.51623e-09,-2.9941e-08
19.334,0,-4.4285e-08,-3.48295e-08
19.336,0,-5.32717e-08,-3.51592e-08
19.338,0,-1.51623e-09,-2.99407e-08
19.34,0,4.4285e-08,-3.48269e-08
19.342,0,5.32717e-08,-3.51568e-08
19.344,0,1.51623e-09,-2.9941e-08
19.346,0,-4.4285e-08,-3.48295e-08
19.348,0,-5.32717e-08,-3.51592e-08
19.35,0,-1.51623e-09,-2.99407e-08
19.352,0,4.4285e-08,-3.48269e-08
19.354,0,5.32717e-08,-3.51568e-08
19.356,0,1.51623e-09,-2.9941e-08
19.358,0,-4.4285e-08,-3.48295e-08
19.36,0,-5.32717e-08,-3.51592e-08
