Times (s), Currents (A), Velocities (rads^-1), Positions(rads)
0.27,0,1.84964e-09,-3.01496e-08
0.272,0,-4.15518e-08,-3.49021e-08
0.274,0,-5.16997e-08,-3.53851e-08
0.276,0,-1.84853e-09,-3.01509e-08
0.278,0,2.62508e-10,-3.02896e-08
0.28,0,-4.25396e-08,-3.4932e-08
0.282,0,-5.28457e-08,-3.54183e-08
0.284,0,-5.28811e-09,-3.59012e-08
0.286,0,6.04967e-08,-3.50258e-08
0.288,0,5.94879e-08,-3.53921e-08
0.29,0,8.34542e-09,-3.59141e-08
0.292,0,-5.79203e-08,-3.50487e-08
0.294,0,-5.67651e-08,-3.53988e-08
0.296,0,-7.38444e-09,-3.59016e-08
0.298,0,-8.4271e-09,-3.60707e-08
0.3,0,-5.34143e-08,-3.51915e-08
0.302,0,-1.84736e-09,-3.01541e-08
0.304,0,3.60836e-08,-3.49646e-08
0.306,0,4.66482e-08,-3.54284e-08
0.308,0,1.84964e-09,-3.01496e-08
0.31,0,-4.15518e-08,-3.49021e-08
0.312,0,-5.16997e-08,-3.53851e-08
0.314,0,-1.84853e-09,-3.01509e-08
0.316,0,2.62508e-10,-3.02896e-08
0.318,0,-4.25396e-08,-3.4932e-08
0.32,0,-5.28457e-08,-3.54183e-08
0.322,0,-5.28811e-09,-3.59012e-08
0.324,0,6.04967e-08,-3.50258e-08
0.326,0,5.94879e-08,-3.53921e-08
0.328,0,8.34542e-09,-3.59141e-08
0.33,0,-5.79203e-08,-3.50487e-08
0.332,0,-5.67651e-08,-3.53988e-08
0.334,0,-7.38444e-09,-3.59016e-08
0.336,0,-8.4271e-09,-3.60707e-08
0.338,0,-5.34143e-08,-3.51915e-08
0.34,0,-1.84736e-09,-3.01541e-08
0.342,0,3.60836e-08,-3.49646e-08
0.344,0,4.66482e-08,-3.54284e-08
0.346,0,1.84964e-09,-3.01496e-08
0.348,0,-4.15518e-08,-3.49021e-08
0.35,0,-5.16997e-08,-3.53851e-08
0.352,0,-1.84853e-09,-3.01509e-08
0.354,0,2.62508e-10,-3.02896e-08
0.356,0,-4.25396e-08,-3.4932e-08
0.358,0,-5.28457e-08,-3.54183e-08
0.36,0,-5.28811e-09,-3.59012e-08
0.362,0,6.04967e-08,-3.50258e-08
0.364,0,5.94879e-08,-3.53921e-08
0.366,0,8.34542e-09,-3.59141e-08
0.368,0,-5.79203e-08,-3.50487e-08
0.37,0,-5.67651e-08,-3.53988e-08
0.374,0,-8.4271e-09,-3.60707e-08
0.376,0,-5.34143e-08,-3.51915e-08
0.378,0,-1.84736e-09,-3.01541e-08
0.38,0,3.60836e-08,-3.49646e-08
0.382,0,4.66482e-08,-3.54284e-08
0.384,0,1.84964e-09,-3.01496e-08
0.386,0,-4.15518e-08,-3.49021e-08
0.388,0,-5.16997e-08,-3.53851e-08
0.39,0,-1.84853e-09,-3.01509e-08
0.392,0,2.62508e-10,-3.02896e-08
0.394,0,-4.25396e-08,-3.4932e-08
0.396,0,-5.28457e-08,-3.54183e-08
0.398,0,-5.28811e-09,-3.59012e-08
0.4,0,6.04967e-08,-3.50258e-08
0.402,0,5.94879e-08,-3.53921e-08
0.404,0,8.34542e-09,-3.59141e-08
0.406,0,-5.79203e-08,-3.50487e-08
0.408,0,-5.67651e-08,-3.53988e-08
0.41,0,-7.38444e-09,-3.59016e-08
0.412,0,-8.4271e-09,-3.60707e-08
0.414,0,-5.34143e-08,-3.51915e-08
0.416,0,-1.84736e-09,-3.01541e-08
0.418,0,3.60836e-08,-3.49646e-08
0.42,0,4.66482e-08,-3.54284e-08
0.422,0,1.84964e-09,-3.01496e-08
0.424,0,-4.15518e-08,-3.49021e-08
0.426,0,-5.16997e-08,-3.53851e-08
0.428,0,-1.84853e-09,-3.01509e-08
0.43,0,2.62508e-10,-3.02896e-08
0.432,0,-4.25396e-08,-3.4932e-08
0.434,0,-5.28457e-08,-3.54183e-08
0.436,0,-5.28811e-09,-3.59012e-08
0.438,0,6.04967e-08,-3.50258e-08
0.44,0,5.94879e-08,-3.53921e-08
0.442,0,8.34542e-09,-3.59141e-08
0.444,0,-5.79203e-08,-3.50487e-08
0.446,0,-5.67651e-08,-3.53988e-08
0.448,0,-7.38444e-09,-3.59016e-08
0.45,0,-8.4271e-09,-3.60707e-08
0.452,0,-5.34143e-08,-3.51915e-08
0.454,0,-1.84736e-09,-3.01541e-08
0.456,0,3.60836e-08,-3.49646e-08
0.458,0,4.66482e-08,-3.54284e-08
0.46,0,1.84964e-09,-3.01496e-08
0.462,0,-4.15518e-08,-3.49021e-08
0.464,0,-5.16997e-08,-3.53851e-08
0.466,0,-1.84853e-09,-3.01509e-08
0.468,0,2.62508e-10,-3.02896e-08
0.47,0,-4.25396e-08,-3.4932e-08
0.472,0,-5.28457e-08,-3.54183e-08
0.474,0,-5.28811e-09,-3.59012e-08
0.476,0,6.04967e-08,-3.50258e-08
0.478,0,5.94879e-08,-3.53921e-08
0.48,0,8.34542e-09,-3.59141e-08
0.482,0,-5.79203e-08,-3.50487e-08
0.484,0,-5.67651e-08,-3.53988e-08
0.486,0,-7.38444e-09,-3.59016e-08
0.488,0,-8.4271e-09,-3.60707e-08
0.49,0,-5.34143e-08,-3.51915e-08
0.492,0,-1.84736e-09,-3.01541e-08
0.494,0,3.60836e-08,-3.49646e-08
0.496,0,4.66482e-08,-3.54284e-08
0.498,0,1.84964e-09,-3.01496e-08
0.5,0,-4.15518e-08,-3.49021e-08
0.502,0,-5.16997e-08,-3.53851e-08
0.504,0,-1.84853e-09,-3.01509e-08
0.506,0,2.62508e-10,-3.02896e-08
0.508,0,-4.25396e-08,-3.4932e-08
0.51,0,-5.28457e-08,-3.54183e-08
0.512,0,-5.28811e-09,-3.59012e-08
0.514,0,6.04967e-08,-3.50258e-08
0.516,0,5.94879e-08,-3.53921e-08
0.518,0,8.34542e-09,-3.59141e-08
0.52,0,-5.79203e-08,-3.50487e-08
0.522,0,-5.67651e-08,-3.53988e-08
0.524,0,-7.38444e-09,-3.59016e-08
0.526,0,-8.4271e-09,-3.60707e-08
0.528,0,-5.34143e-08,-3.51915e-08
0.53,0,-1.84736e-09,-3.01541e-08
0.532,0,3.60836e-08,-3.49646e-08
0.534,0,4.66482e-08,-3.54284e-08
0.536,0,1.84964e-09,-3.01496e-08
0.538,0,-4.15518e-08,-3.49021e-08
0.54,0,-5.16997e-08,-3.53851e-08
0.542,0,-1.84853e-09,-3.01509e-08
0.544,0,2.62508e-10,-3.02896e-08
0.546,0,-4.25396e-08,-3.4932e-08
0.548,0,-5.28457e-08,-3.54183e-08
0.55,0,-5.28811e-09,-3.59012e-08
0.552,0,6.04967e-08,-3.50258e-08
0.554,0,5.94879e-08,-3.53921e-08
0.556,0,8.34542e-09,-3.59141e-08
0.558,0,-5.79203e-08,-3.50487e-08
0.56,0,-5.67651e-08,-3.53988e-08
0.562,0,-7.38444e-09,-3.59016e-08
0.564,0,-8.4271e-09,-3.60707e-08
0.566,0,-5.34143e-08,-3.51915e-08
0.568,0,-1.84736e-09,-3.01541e-08
0.57,0,3.60836e-08,-3.49646e-08
0.572,0,4.66482e-08,-3.54284e-08
0.574,0,1.84964e-09,-3.01496e-08
0.576,0,-4.15518e-08,-3.49021e-08
0.578,0,-5.16997e-08,-3.53851e-08
0.58,0,-1.84853e-09,-3.01509e-08
0.582,0,2.62508e-10,-3.02896e-08
0.584,0,-4.25396e-08,-3.4932e-08
0.586,0,-5.28457e-08,-3.54183e-08
0.588,0,-5.28811e-09,-3.59012e-08
0.59,0,6.04967e-08,-3.50258e-08
0.592,0,5.94879e-08,-3.53921e-08
0.594,0,8.34542e-09,-3.59141e-08
0.596,0,-5.79203e-08,-3.50487e-08
0.598,0,-5.67651e-08,-3.53988e-08
0.6,0,-7.38444e-09,-3.59016e-08
0.602,0,-8.4271e-09,-3.60707e-08
0.604,0,-5.34143e-08,-3.51915e-08
0.606,0,-1.84736e-09,-3.01541e-08
0.608,0,3.60836e-08,-3.49646e-08
0.61,0,4.66482e-08,-3.54284e-08
0.612,0,1.84964e-09,-3.01496e-08
0.614,0,-4.15518e-08,-3.49021e-08
0.616,0,-5.16997e-08,-3.53851e-08
0.618,0,-1.84853e-09,-3.01509e-08
0.62,0,2.62508e-10,-3.02896e-08
0.622,0,-4.25396e-08,-3.4932e-08
0.624,0,-5.28457e-08,-3.54183e-08
0.626,0,-5.28811e-09,-3.59012e-08
0.628,0,6.04967e-08,-3.50258e-08
0.63,0,5.94879e-08,-3.53921e-08
0.632,0,8.34542e-09,-3.59141e-08
0.634,0,-5.79203e-08,-3.50487e-08
0.636,0,-5.67651e-08,-3.53988e-08
0.638,0,-7.38444e-09,-3.59016e-08
0.64,0,-8.4271e-09,-3.60707e-08
0.642,0,-5.34143e-08,-3.51915e-08
0.644,0,-1.84736e-09,-3.01541e-08
0.646,0,3.60836e-08,-3.49646e-08
0.648,0,4.66482e-08,-3.54284e-08
0.65,0,1.84964e-09,-3.01496e-08
0.652,0,-4.15518e-08,-3.49021e-08
0.654,0,-5.16997e-08,-3.53851e-08
0.656,0,-1.84853e-09,-3.01509e-08
0.658,0,2.62508e-10,-3.02896e-08
0.66,0,-4.25396e-08,-3.4932e-08
0.662,0,-5.28457e-08,-3.54183e-08
0.664,0,-5.28811e-09,-3.59012e-08
0.666,0,6.04967e-08,-3.50258e-08
0.668,0,5.94879e-08,-3.53921e-08
0.67,0,8.34542e-09,-3.59141e-08
0.672,0,-5.79203e-08,-3.50487e-08
0.674,0,-5.67651e-08,-3.53988e-08
0.676,0,-7.38444e-09,-3.59016e-08
0.678,0,-8.4271e-09,-3.60707e-08
0.68,0,-5.34143e-08,-3.51915e-08
0.682,0,-1.84736e-09,-3.01541e-08
0.684,0,3.60836e-08,-3.49646e-08
0.686,0,4.66482e-08,-3.54284e-08
0.688,0,1.84964e-09,-3.01496e-08
0.69,0,-4.15518e-08,-3.49021e-08
0.692,0,-5.16997e-08,-3.53851e-08
0.694,0,-1.84853e-09,-3.01509e-08
0.696,0,2.62508e-10,-3.02896e-08
0.698,0,-4.25396e-08,-3.4932e-08
0.7,0,-5.28457e-08,-3.54183e-08
0.702,0,-5.28811e-09,-3.59012e-08
0.704,0,6.04967e-08,-3.50258e-08
0.706,0,5.94879e-08,-3.53921e-08
0.708,0,8.34542e-09,-3.59141e-08
0.71,0,-5.79203e-08,-3.50487e-08
0.712,0,-5.67651e-08,-3.53988e-08
0.714,0,-7.38444e-09,-3.59016e-08
0.716,0,-8.4271e-09,-3.60707e-08
0.718,0,-5.34143e-08,-3.51915e-08
0.72,0,-1.84736e-09,-3.01541e-08
0.722,0,3.60836e-08,-3.49646e-08
0.724,0,4.66482e-08,-3.54284e-08
0.726,0,1.84964e-09,-3.01496e-08
0.728,0,-4.15518e-08,-3.49021e-08
0.73,0,-5.16997e-08,-3.53851e-08
0.732,0,-1.84853e-09,-3.01509e-08
0.734,0,2.62508e-10,-3.02896e-08
0.736,0,-4.25396e-08,-3.4932e-08
0.738,0,-5.28457e-08,-3.54183e-08
0.74,0,-5.28811e-09,-3.59012e-08
0.742,0,6.04967e-08,-3.50258e-08
0.744,0,5.94879e-08,-3.53921e-08
0.746,0,8.34542e-09,-3.59141e-08
0.748,0,-5.79203e-08,-3.50487e-08
0.75,0,-5.67651e-08,-3.53988e-08
0.752,0,-7.38444e-09,-3.59016e-08
0.754,0,-8.4271e-09,-3.60707e-08
0.756,0,-5.34143e-08,-3.51915e-08
0.758,0,-1.84736e-09,-3.01541e-08
0.76,0,3.60836e-08,-3.49646e-08
0.762,0,4.66482e-08,-3.54284e-08
0.764,0,1.84964e-09,-3.01496e-08
0.766,0,-4.15518e-08,-3.49021e-08
0.768,0,-5.16997e-08,-3.53851e-08
0.77,0,-1.84853e-09,-3.01509e-08
0.772,0,2.62508e-10,-3.02896e-08
0.774,0,-4.25396e-08,-3.4932e-08
0.776,0,-5.28457e-08,-3.54183e-08
0.778,0,-5.28811e-09,-3.59012e-08
0.78,0,6.04967e-08,-3.50258e-08
0.782,0,5.94879e-08,-3.53921e-08
0.784,0,8.34542e-09,-3.59141e-08
0.786,0,-5.79203e-08,-3.50487e-08
